customer_id;age;gender;item_purchased;category;location;size;color;season;review_rating;product_rating;subscription_status;shipping_type;discount_applied;payment_method;frequency_of_purchases;age_group;total_purchase_amount;total_previous_purchase;total_spending;spending_category;freq_of_puchase_days;customer_segmentation
11;53;Male;Shoes;Footwear;Arkansas;L;Purple;Fall;4,1;highly_rated;Yes;Store Pickup;Yes;Bank Transfer;Bi-Weekly;senior;34;26;60;medium_disc_speding;14;loyal
12;30;Male;Shorts;Clothing;Hawaii;S;Olive;Winter;4,9;top_rated;Yes;Store Pickup;Yes;Bank Transfer;Fortnightly;early_adult;68;10;78;medium_disc_speding;14;loyal
13;61;Male;Coat;Outerwear;Delaware;M;Gold;Winter;4,5;top_rated;Yes;Express;Yes;Venmo;Fortnightly;senior;72;37;109;high_disc_spending;14;loyal
14;65;Male;Dress;Clothing;New Hampshire;M;Violet;Spring;4,7;top_rated;Yes;Express;Yes;PayPal;Weekly;senior;51;31;82;medium_disc_speding;7;loyal
15;64;Male;Coat;Outerwear;New York;L;Teal;Winter;4,7;top_rated;Yes;Free Shipping;Yes;Debit Card;Weekly;senior;53;34;87;medium_disc_speding;7;loyal
16;64;Male;Skirt;Clothing;Rhode Island;M;Teal;Winter;2,8;poorly_rated;Yes;Store Pickup;Yes;PayPal;Monthly;senior;81;8;89;medium_disc_speding;30;loyal
17;25;Male;Sunglasses;Accessories;Alabama;S;Gray;Spring;4,1;highly_rated;Yes;Next Day Air;Yes;Debit Card;Bi-Weekly;young;36;44;80;medium_disc_speding;14;loyal
18;53;Male;Dress;Clothing;Mississippi;XL;Lavender;Winter;4,7;top_rated;Yes;2-Day Shipping;Yes;Venmo;Quarterly;senior;38;36;74;medium_disc_speding;90;returning
19;52;Male;Sweater;Clothing;Montana;S;Black;Summer;4,6;top_rated;Yes;Free Shipping;Yes;Cash;Weekly;senior;48;17;65;medium_disc_speding;7;loyal
20;66;Male;Pants;Clothing;Rhode Island;M;Green;Summer;3,3;average_rated;Yes;Standard;Yes;Debit Card;Bi-Weekly;senior;90;46;136;high_disc_spending;14;loyal
21;21;Male;Pants;Clothing;Louisiana;M;Black;Winter;2,8;poorly_rated;Yes;Express;Yes;Cash;Every 3 Months;young;51;50;101;high_disc_spending;90;returning
22;31;Male;Pants;Clothing;North Carolina;M;Charcoal;Winter;4,1;highly_rated;Yes;Store Pickup;Yes;Debit Card;Quarterly;early_adult;62;22;84;medium_disc_speding;90;returning
23;56;Male;Pants;Clothing;California;M;Peach;Summer;3,2;average_rated;Yes;Store Pickup;Yes;Debit Card;Annually;senior;37;32;69;medium_disc_speding;365;new
24;31;Male;Pants;Clothing;Oklahoma;XL;White;Winter;4,4;highly_rated;Yes;Express;Yes;Credit Card;Weekly;early_adult;88;40;128;high_disc_spending;7;loyal
25;18;Male;Jacket;Outerwear;Florida;M;Green;Fall;2,9;poorly_rated;Yes;Store Pickup;Yes;Debit Card;Weekly;young;22;16;38;low_disc_spending;7;loyal
26;18;Male;Hoodie;Clothing;Texas;M;Silver;Summer;3,6;average_rated;Yes;Express;Yes;PayPal;Annually;young;25;14;39;low_disc_spending;365;new
27;38;Male;Jewelry;Accessories;Nevada;M;Red;Spring;3,6;average_rated;Yes;Next Day Air;Yes;Credit Card;Annually;mid_adult;20;13;33;low_disc_spending;365;new
28;56;Male;Shorts;Clothing;Kentucky;L;Cyan;Summer;5;top_rated;Yes;Next Day Air;Yes;Bank Transfer;Every 3 Months;senior;56;7;63;medium_disc_speding;90;returning
29;54;Male;Handbag;Accessories;North Carolina;M;Gray;Fall;4,4;highly_rated;Yes;Free Shipping;Yes;PayPal;Every 3 Months;senior;94;41;135;high_disc_spending;90;returning
30;31;Male;Dress;Clothing;Wyoming;S;Black;Fall;4,1;highly_rated;Yes;Store Pickup;Yes;Credit Card;Weekly;early_adult;48;14;62;medium_disc_speding;7;loyal
31;57;Male;Jewelry;Accessories;North Carolina;L;Black;Winter;4,7;top_rated;Yes;Standard;Yes;Credit Card;Monthly;senior;31;16;47;low_disc_spending;30;loyal
32;33;Male;Dress;Clothing;West Virginia;L;Brown;Winter;4,7;top_rated;Yes;Store Pickup;Yes;Venmo;Monthly;early_adult;79;45;124;high_disc_spending;30;loyal
33;36;Male;Jacket;Outerwear;Kansas;M;Silver;Summer;4,9;top_rated;Yes;Free Shipping;Yes;Venmo;Annually;mid_adult;67;37;104;high_disc_spending;365;new
34;54;Male;Pants;Clothing;Colorado;L;Green;Summer;3,3;average_rated;Yes;Store Pickup;Yes;Cash;Quarterly;senior;38;45;83;medium_disc_speding;90;returning
35;36;Male;T-shirt;Clothing;North Dakota;L;Violet;Spring;4,6;top_rated;Yes;2-Day Shipping;Yes;PayPal;Quarterly;mid_adult;91;38;129;high_disc_spending;90;returning
36;54;Male;Blouse;Clothing;Massachusetts;M;Cyan;Summer;4;highly_rated;Yes;2-Day Shipping;Yes;Credit Card;Bi-Weekly;senior;33;48;81;medium_disc_speding;14;loyal
37;35;Male;T-shirt;Clothing;Illinois;M;Maroon;Winter;4,6;top_rated;Yes;Free Shipping;Yes;PayPal;Fortnightly;early_adult;69;44;113;high_disc_spending;14;loyal
38;35;Male;Jeans;Clothing;Indiana;S;Cyan;Summer;2,8;poorly_rated;Yes;Store Pickup;Yes;PayPal;Weekly;early_adult;45;10;55;medium_disc_speding;7;loyal
39;29;Male;Dress;Clothing;Florida;M;Red;Winter;3,8;average_rated;Yes;2-Day Shipping;Yes;Venmo;Every 3 Months;early_adult;37;44;81;medium_disc_speding;90;returning
40;70;Male;Pants;Clothing;Arizona;S;Turquoise;Summer;4,2;highly_rated;Yes;Express;Yes;Credit Card;Monthly;senior;60;18;78;medium_disc_speding;30;loyal
41;69;Male;Handbag;Accessories;Louisiana;L;Beige;Winter;4,6;top_rated;Yes;Next Day Air;Yes;Debit Card;Quarterly;senior;76;31;107;high_disc_spending;90;returning
42;67;Male;Scarf;Accessories;Alaska;M;Orange;Spring;4,5;top_rated;Yes;Standard;Yes;Venmo;Annually;senior;39;40;79;medium_disc_speding;365;new
43;20;Male;Coat;Outerwear;Tennessee;M;Beige;Spring;4,1;highly_rated;Yes;Free Shipping;Yes;PayPal;Annually;young;100;15;115;high_disc_spending;365;new
44;25;Male;Scarf;Accessories;Ohio;L;Lavender;Fall;3,7;average_rated;Yes;Store Pickup;Yes;PayPal;Fortnightly;young;69;19;88;medium_disc_speding;14;loyal
45;39;Male;Hat;Accessories;Kentucky;S;Silver;Summer;4,6;top_rated;Yes;Free Shipping;Yes;PayPal;Weekly;mid_adult;53;45;98;medium_disc_speding;7;loyal
46;50;Male;Socks;Clothing;Tennessee;XL;Indigo;Fall;2,9;poorly_rated;Yes;2-Day Shipping;Yes;PayPal;Annually;mid_adult;21;25;46;low_disc_spending;365;new
47;57;Male;Shirt;Clothing;California;L;White;Summer;2,9;poorly_rated;Yes;Store Pickup;Yes;Cash;Quarterly;senior;43;45;88;medium_disc_speding;90;returning
48;55;Male;Jewelry;Accessories;Montana;M;Charcoal;Winter;4,5;top_rated;Yes;Free Shipping;Yes;Cash;Weekly;senior;54;36;90;medium_disc_speding;7;loyal
49;42;Male;Shirt;Clothing;Nevada;M;Orange;Summer;2,7;poorly_rated;Yes;Store Pickup;Yes;Cash;Monthly;mid_adult;55;38;93;medium_disc_speding;30;loyal
50;68;Male;Hoodie;Clothing;New Jersey;S;Indigo;Spring;4,6;top_rated;Yes;Next Day Air;Yes;Debit Card;Bi-Weekly;senior;30;34;64;medium_disc_speding;14;loyal
51;49;Male;Blouse;Clothing;Maryland;M;Red;Spring;3,8;average_rated;Yes;Store Pickup;Yes;Debit Card;Bi-Weekly;mid_adult;28;39;67;medium_disc_speding;14;loyal
52;59;Male;Skirt;Clothing;Vermont;XL;Gray;Winter;4,7;top_rated;Yes;2-Day Shipping;Yes;Credit Card;Quarterly;senior;59;7;66;medium_disc_speding;90;returning
53;42;Male;T-shirt;Clothing;Alaska;M;Green;Summer;2,6;poorly_rated;Yes;Free Shipping;Yes;Credit Card;Weekly;mid_adult;20;26;46;low_disc_spending;7;loyal
54;29;Male;Skirt;Clothing;Mississippi;S;Peach;Winter;3,9;average_rated;Yes;Next Day Air;Yes;Credit Card;Weekly;early_adult;24;35;59;medium_disc_speding;7;loyal
55;47;Male;Coat;Outerwear;New Mexico;M;Brown;Summer;4,2;highly_rated;Yes;Next Day Air;Yes;Debit Card;Bi-Weekly;mid_adult;94;35;129;high_disc_spending;14;loyal
56;40;Male;Jacket;Outerwear;South Carolina;M;Lavender;Winter;3;average_rated;Yes;2-Day Shipping;Yes;Credit Card;Annually;mid_adult;28;49;77;medium_disc_speding;365;new
57;41;Male;Backpack;Accessories;Mississippi;XL;Brown;Summer;4,7;top_rated;Yes;Store Pickup;Yes;Credit Card;Weekly;mid_adult;73;46;119;high_disc_spending;7;loyal
58;21;Male;Coat;Outerwear;West Virginia;M;White;Summer;4,4;highly_rated;Yes;Store Pickup;Yes;Debit Card;Fortnightly;young;64;17;81;medium_disc_speding;14;loyal
59;69;Male;Hoodie;Clothing;Missouri;M;Charcoal;Summer;4,2;highly_rated;Yes;Free Shipping;Yes;Venmo;Monthly;senior;54;29;83;medium_disc_speding;30;loyal
60;63;Male;Belt;Accessories;Louisiana;L;Yellow;Spring;4,6;top_rated;Yes;Standard;Yes;Debit Card;Weekly;senior;79;4;83;medium_disc_speding;7;loyal
61;50;Male;Sweater;Clothing;Idaho;L;Brown;Summer;4;highly_rated;Yes;Express;Yes;Cash;Weekly;mid_adult;37;17;54;medium_disc_speding;7;loyal
62;55;Male;Scarf;Accessories;Texas;M;Orange;Winter;4,7;top_rated;Yes;Store Pickup;Yes;Credit Card;Every 3 Months;senior;68;21;89;medium_disc_speding;90;returning
63;30;Male;Sneakers;Footwear;Mississippi;S;Magenta;Spring;3,8;average_rated;Yes;Free Shipping;Yes;Credit Card;Fortnightly;early_adult;21;31;52;medium_disc_speding;14;loyal
64;33;Male;Sunglasses;Accessories;Arizona;L;Lavender;Winter;2,7;poorly_rated;Yes;2-Day Shipping;Yes;Credit Card;Weekly;early_adult;79;43;122;high_disc_spending;7;loyal
65;65;Male;Boots;Footwear;Alabama;S;Green;Fall;4,8;top_rated;Yes;Standard;Yes;Debit Card;Fortnightly;senior;83;18;101;high_disc_spending;14;loyal
66;65;Male;Backpack;Accessories;New Jersey;M;Purple;Spring;4,8;top_rated;Yes;2-Day Shipping;Yes;Venmo;Every 3 Months;senior;36;44;80;medium_disc_speding;90;returning
67;31;Male;Blouse;Clothing;Pennsylvania;S;Magenta;Winter;4,7;top_rated;Yes;2-Day Shipping;Yes;Venmo;Every 3 Months;early_adult;94;3;97;medium_disc_speding;90;returning
68;45;Male;Coat;Outerwear;Connecticut;L;Gray;Winter;4,4;highly_rated;Yes;Store Pickup;Yes;Debit Card;Monthly;mid_adult;33;49;82;medium_disc_speding;30;loyal
69;57;Male;Handbag;Accessories;Utah;L;Silver;Summer;3,9;average_rated;Yes;Next Day Air;Yes;Cash;Every 3 Months;senior;46;21;67;medium_disc_speding;90;returning
70;48;Male;Belt;Accessories;Tennessee;S;Cyan;Summer;4,4;highly_rated;Yes;Express;Yes;Cash;Weekly;mid_adult;70;5;75;medium_disc_speding;7;loyal
71;22;Male;Belt;Accessories;Alabama;M;Magenta;Fall;4,2;highly_rated;Yes;Express;Yes;Debit Card;Every 3 Months;young;29;32;61;medium_disc_speding;90;returning
72;36;Male;Dress;Clothing;Virginia;L;Gold;Summer;2,9;poorly_rated;Yes;Express;Yes;Bank Transfer;Annually;mid_adult;48;34;82;medium_disc_speding;365;new
73;18;Male;Dress;Clothing;Georgia;M;Olive;Winter;2,9;poorly_rated;Yes;Store Pickup;Yes;Bank Transfer;Every 3 Months;young;26;21;47;low_disc_spending;90;returning
74;48;Male;Pants;Clothing;Hawaii;M;Teal;Spring;2,7;poorly_rated;Yes;Free Shipping;Yes;Bank Transfer;Bi-Weekly;mid_adult;85;43;128;high_disc_spending;14;loyal
75;49;Male;Gloves;Accessories;Indiana;L;Violet;Spring;4,5;top_rated;Yes;Express;Yes;Cash;Monthly;mid_adult;58;3;61;medium_disc_speding;30;loyal
76;64;Male;Scarf;Accessories;Utah;M;Blue;Summer;2,7;poorly_rated;Yes;Free Shipping;Yes;Credit Card;Annually;senior;85;21;106;high_disc_spending;365;new
77;50;Male;Hat;Accessories;Delaware;S;Teal;Summer;4,2;highly_rated;Yes;Free Shipping;Yes;Venmo;Monthly;mid_adult;43;32;75;medium_disc_speding;30;loyal
78;22;Male;Dress;Clothing;Delaware;L;Gold;Summer;3,3;average_rated;Yes;Next Day Air;Yes;Debit Card;Fortnightly;young;53;36;89;medium_disc_speding;14;loyal
79;50;Male;Skirt;Clothing;Nebraska;M;Maroon;Spring;4,7;top_rated;Yes;Free Shipping;Yes;Venmo;Fortnightly;mid_adult;91;50;141;high_disc_spending;14;loyal
80;38;Male;Jacket;Outerwear;Iowa;M;Olive;Winter;2,6;poorly_rated;Yes;2-Day Shipping;Yes;Bank Transfer;Every 3 Months;mid_adult;96;43;139;high_disc_spending;90;returning
81;19;Male;Sandals;Footwear;New York;XL;Blue;Summer;3,8;average_rated;Yes;Store Pickup;Yes;Credit Card;Every 3 Months;young;72;24;96;medium_disc_speding;90;returning
82;67;Male;Shoes;Footwear;Virginia;L;Maroon;Summer;2,6;poorly_rated;Yes;Express;Yes;Credit Card;Every 3 Months;senior;96;36;132;high_disc_spending;90;returning
83;19;Male;Pants;Clothing;Georgia;S;Olive;Spring;4;highly_rated;Yes;2-Day Shipping;Yes;Credit Card;Every 3 Months;young;28;21;49;low_disc_spending;90;returning
84;36;Male;Dress;Clothing;Texas;M;Turquoise;Summer;4,1;highly_rated;Yes;Standard;Yes;Bank Transfer;Weekly;mid_adult;40;34;74;medium_disc_speding;7;loyal
85;52;Male;Coat;Outerwear;Arizona;S;Peach;Spring;4,4;highly_rated;Yes;Standard;Yes;Bank Transfer;Every 3 Months;senior;32;42;74;medium_disc_speding;90;returning
86;53;Male;Sunglasses;Accessories;New Mexico;M;Charcoal;Winter;4,5;top_rated;Yes;Next Day Air;Yes;Debit Card;Bi-Weekly;senior;95;2;97;medium_disc_speding;14;loyal
87;24;Male;Hoodie;Clothing;Nevada;L;Pink;Spring;3,7;average_rated;Yes;2-Day Shipping;Yes;Cash;Bi-Weekly;young;41;47;88;medium_disc_speding;14;loyal
88;52;Male;Shoes;Footwear;Ohio;M;Green;Fall;3,7;average_rated;Yes;2-Day Shipping;Yes;Debit Card;Fortnightly;senior;53;44;97;medium_disc_speding;14;loyal
89;33;Male;T-shirt;Clothing;Wyoming;M;Orange;Fall;3,5;average_rated;Yes;Free Shipping;Yes;Credit Card;Monthly;early_adult;47;35;82;medium_disc_speding;30;loyal
90;47;Male;Jacket;Outerwear;California;XL;Pink;Fall;3,6;average_rated;Yes;Next Day Air;Yes;Cash;Quarterly;mid_adult;83;15;98;medium_disc_speding;90;returning
91;25;Male;Hat;Accessories;South Carolina;L;Violet;Summer;2,9;poorly_rated;Yes;Express;Yes;Credit Card;Monthly;young;48;29;77;medium_disc_speding;30;loyal
92;44;Male;Scarf;Accessories;South Carolina;S;Green;Winter;4,6;top_rated;Yes;Standard;Yes;Credit Card;Every 3 Months;mid_adult;99;18;117;high_disc_spending;90;returning
93;61;Male;Jacket;Outerwear;Texas;M;Olive;Winter;4,4;highly_rated;Yes;2-Day Shipping;Yes;Venmo;Every 3 Months;senior;87;13;100;medium_disc_speding;90;returning
94;37;Male;Sweater;Clothing;Florida;M;Purple;Fall;4,5;top_rated;Yes;Standard;Yes;Credit Card;Weekly;mid_adult;62;46;108;high_disc_spending;7;loyal
95;58;Male;Skirt;Clothing;Nevada;S;Silver;Spring;4,6;top_rated;Yes;Free Shipping;Yes;Credit Card;Weekly;senior;76;28;104;high_disc_spending;7;loyal
96;37;Male;Sneakers;Footwear;Missouri;L;Pink;Fall;3,8;average_rated;Yes;Free Shipping;Yes;PayPal;Monthly;mid_adult;100;48;148;high_disc_spending;30;loyal
97;32;Male;Gloves;Accessories;Delaware;S;Gold;Spring;3,8;average_rated;Yes;Express;Yes;Venmo;Every 3 Months;early_adult;73;43;116;high_disc_spending;90;returning
98;21;Male;Shoes;Footwear;Virginia;M;Teal;Winter;4,8;top_rated;Yes;Store Pickup;Yes;Cash;Annually;young;92;37;129;high_disc_spending;365;new
99;20;Male;Jeans;Clothing;New York;XL;Teal;Spring;2,6;poorly_rated;Yes;Next Day Air;Yes;Bank Transfer;Annually;young;67;20;87;medium_disc_speding;365;new
100;26;Male;Hoodie;Clothing;Missouri;XL;Indigo;Summer;3,7;average_rated;Yes;Express;Yes;Debit Card;Quarterly;early_adult;40;33;73;medium_disc_speding;90;returning
101;62;Male;Sunglasses;Accessories;South Dakota;M;Maroon;Fall;2,7;poorly_rated;Yes;Express;Yes;Cash;Fortnightly;senior;98;31;129;high_disc_spending;14;loyal
102;27;Male;Coat;Outerwear;North Dakota;XL;White;Spring;4,6;top_rated;Yes;Express;Yes;Credit Card;Bi-Weekly;early_adult;85;50;135;high_disc_spending;14;loyal
103;51;Male;Socks;Clothing;Oklahoma;L;Violet;Winter;4,8;top_rated;Yes;Next Day Air;Yes;Credit Card;Quarterly;senior;67;35;102;high_disc_spending;90;returning
104;54;Male;Boots;Footwear;West Virginia;L;Red;Winter;4;highly_rated;Yes;Next Day Air;Yes;Venmo;Bi-Weekly;senior;89;22;111;high_disc_spending;14;loyal
105;55;Male;Sunglasses;Accessories;New Hampshire;L;Pink;Spring;4,4;highly_rated;Yes;2-Day Shipping;Yes;PayPal;Monthly;senior;24;1;25;low_disc_spending;30;loyal
106;69;Male;Backpack;Accessories;New York;M;Charcoal;Fall;3,6;average_rated;Yes;Next Day Air;Yes;Bank Transfer;Annually;senior;96;4;100;medium_disc_speding;365;new
107;64;Male;Jacket;Outerwear;Minnesota;L;White;Summer;3,7;average_rated;Yes;Standard;Yes;Credit Card;Monthly;senior;35;31;66;medium_disc_speding;30;loyal
108;28;Male;Sneakers;Footwear;Maryland;L;Olive;Winter;3,1;average_rated;Yes;Next Day Air;Yes;PayPal;Fortnightly;early_adult;67;46;113;high_disc_spending;14;loyal
109;70;Male;Socks;Clothing;Montana;L;Purple;Spring;3,4;average_rated;Yes;Next Day Air;Yes;Bank Transfer;Bi-Weekly;senior;79;32;111;high_disc_spending;14;loyal
110;58;Male;T-shirt;Clothing;Alabama;M;Violet;Spring;2,6;poorly_rated;Yes;Next Day Air;Yes;Bank Transfer;Fortnightly;senior;85;43;128;high_disc_spending;14;loyal
111;56;Male;Backpack;Accessories;New York;M;Black;Summer;4;highly_rated;Yes;Standard;Yes;Venmo;Fortnightly;senior;26;26;52;medium_disc_speding;14;loyal
112;26;Male;Belt;Accessories;Massachusetts;L;Purple;Summer;5;top_rated;Yes;Free Shipping;Yes;Credit Card;Annually;early_adult;75;9;84;medium_disc_speding;365;new
113;37;Male;Gloves;Accessories;Florida;M;Red;Spring;4,3;highly_rated;Yes;Free Shipping;Yes;PayPal;Bi-Weekly;mid_adult;65;28;93;medium_disc_speding;14;loyal
114;44;Male;Hat;Accessories;New Jersey;L;Maroon;Winter;3,1;average_rated;Yes;Next Day Air;Yes;PayPal;Quarterly;mid_adult;54;20;74;medium_disc_speding;90;returning
115;70;Male;Coat;Outerwear;Massachusetts;S;Blue;Summer;3,7;average_rated;Yes;Store Pickup;Yes;Cash;Weekly;senior;95;9;104;high_disc_spending;7;loyal
116;53;Male;Skirt;Clothing;Wyoming;M;Gray;Spring;3,8;average_rated;Yes;Standard;Yes;Debit Card;Every 3 Months;senior;94;48;142;high_disc_spending;90;returning
117;55;Male;Shoes;Footwear;Virginia;S;Blue;Spring;3,4;average_rated;Yes;Free Shipping;Yes;Venmo;Annually;senior;86;12;98;medium_disc_speding;365;new
118;50;Male;Sandals;Footwear;South Dakota;L;Yellow;Summer;4,6;top_rated;Yes;Express;Yes;Cash;Fortnightly;mid_adult;32;29;61;medium_disc_speding;14;loyal
119;50;Male;Sweater;Clothing;Kentucky;L;Orange;Fall;4,8;top_rated;Yes;2-Day Shipping;Yes;Cash;Bi-Weekly;mid_adult;45;27;72;medium_disc_speding;14;loyal
120;38;Male;Coat;Outerwear;Wyoming;M;Orange;Fall;4,3;highly_rated;Yes;Express;Yes;Cash;Annually;mid_adult;76;44;120;high_disc_spending;365;new
121;64;Male;Hat;Accessories;West Virginia;L;Red;Summer;4;highly_rated;Yes;Express;Yes;Bank Transfer;Annually;senior;84;32;116;high_disc_spending;365;new
122;19;Male;Shorts;Clothing;Virginia;M;Olive;Winter;4,2;highly_rated;Yes;Standard;Yes;Cash;Fortnightly;young;72;11;83;medium_disc_speding;14;loyal
123;40;Male;Backpack;Accessories;Washington;L;Brown;Spring;4,8;top_rated;Yes;2-Day Shipping;Yes;Cash;Fortnightly;mid_adult;40;44;84;medium_disc_speding;14;loyal
124;57;Male;Sweater;Clothing;Louisiana;L;Brown;Fall;3,1;average_rated;Yes;Free Shipping;Yes;Cash;Weekly;senior;89;46;135;high_disc_spending;7;loyal
125;44;Male;Sweater;Clothing;Nevada;M;Gray;Spring;3,1;average_rated;Yes;Next Day Air;Yes;PayPal;Annually;mid_adult;86;50;136;high_disc_spending;365;new
126;49;Male;Shorts;Clothing;California;M;Indigo;Winter;3,6;average_rated;Yes;Next Day Air;Yes;Venmo;Every 3 Months;mid_adult;54;45;99;medium_disc_speding;90;returning
127;43;Male;Shorts;Clothing;Mississippi;L;Pink;Spring;3,9;average_rated;Yes;Store Pickup;Yes;Cash;Every 3 Months;mid_adult;36;48;84;medium_disc_speding;90;returning
128;24;Male;Sweater;Clothing;Mississippi;M;Gray;Winter;4,8;top_rated;Yes;Next Day Air;Yes;Credit Card;Weekly;young;89;26;115;high_disc_spending;7;loyal
129;20;Male;Scarf;Accessories;California;M;Gold;Spring;4,7;top_rated;Yes;Standard;Yes;Credit Card;Fortnightly;young;32;21;53;medium_disc_speding;14;loyal
130;24;Male;Dress;Clothing;Pennsylvania;XL;Olive;Summer;4,2;highly_rated;Yes;2-Day Shipping;Yes;PayPal;Bi-Weekly;young;67;49;116;high_disc_spending;14;loyal
131;44;Male;Scarf;Accessories;Kentucky;L;Violet;Fall;3,7;average_rated;Yes;Next Day Air;Yes;PayPal;Fortnightly;mid_adult;39;13;52;medium_disc_speding;14;loyal
132;28;Male;Skirt;Clothing;Maine;L;Indigo;Summer;3,9;average_rated;Yes;Standard;Yes;Credit Card;Weekly;early_adult;29;46;75;medium_disc_speding;7;loyal
133;30;Male;Backpack;Accessories;New Mexico;M;Orange;Fall;4,7;top_rated;Yes;2-Day Shipping;Yes;PayPal;Weekly;early_adult;58;42;100;medium_disc_speding;7;loyal
134;52;Male;Sweater;Clothing;Montana;M;Violet;Winter;2,5;poorly_rated;Yes;Next Day Air;Yes;Venmo;Annually;senior;65;25;90;medium_disc_speding;365;new
135;43;Male;Hat;Accessories;Texas;L;Gray;Fall;4,9;top_rated;Yes;Store Pickup;Yes;Cash;Monthly;mid_adult;94;25;119;high_disc_spending;30;loyal
136;43;Male;Sandals;Footwear;Kansas;M;Purple;Fall;4,1;highly_rated;Yes;Express;Yes;PayPal;Quarterly;mid_adult;81;12;93;medium_disc_speding;90;returning
137;39;Male;Blouse;Clothing;South Carolina;M;White;Winter;3,3;average_rated;Yes;Free Shipping;Yes;Debit Card;Quarterly;mid_adult;86;4;90;medium_disc_speding;90;returning
138;68;Male;Sneakers;Footwear;Colorado;M;Turquoise;Spring;4,7;top_rated;Yes;Free Shipping;Yes;PayPal;Weekly;senior;43;38;81;medium_disc_speding;7;loyal
139;68;Male;Skirt;Clothing;Georgia;M;Maroon;Winter;4,4;highly_rated;Yes;Store Pickup;Yes;Bank Transfer;Weekly;senior;29;42;71;medium_disc_speding;7;loyal
140;49;Male;Coat;Outerwear;Florida;M;White;Fall;3,8;average_rated;Yes;Store Pickup;Yes;Venmo;Annually;mid_adult;95;30;125;high_disc_spending;365;new
141;63;Male;Shirt;Clothing;North Carolina;L;Yellow;Fall;3,9;average_rated;Yes;2-Day Shipping;Yes;Credit Card;Weekly;senior;28;50;78;medium_disc_speding;7;loyal
142;56;Male;Gloves;Accessories;Virginia;M;Turquoise;Fall;4,9;top_rated;Yes;Free Shipping;Yes;PayPal;Weekly;senior;46;45;91;medium_disc_speding;7;loyal
143;37;Male;Jacket;Outerwear;Nebraska;L;Violet;Fall;3,1;average_rated;Yes;Free Shipping;Yes;Credit Card;Fortnightly;mid_adult;58;33;91;medium_disc_speding;14;loyal
144;30;Male;Coat;Outerwear;Missouri;M;Beige;Fall;2,7;poorly_rated;Yes;Store Pickup;Yes;PayPal;Quarterly;early_adult;48;25;73;medium_disc_speding;90;returning
145;19;Male;Shoes;Footwear;New Jersey;M;Silver;Fall;3,2;average_rated;Yes;Express;Yes;Cash;Monthly;young;43;25;68;medium_disc_speding;30;loyal
146;24;Male;Jewelry;Accessories;Missouri;M;Teal;Fall;4,5;top_rated;Yes;Standard;Yes;Debit Card;Quarterly;young;95;44;139;high_disc_spending;90;returning
147;52;Male;Skirt;Clothing;Colorado;S;Black;Fall;4;highly_rated;Yes;Standard;Yes;Venmo;Fortnightly;senior;30;21;51;medium_disc_speding;14;loyal
148;63;Male;Shoes;Footwear;Idaho;M;Purple;Summer;3,5;average_rated;Yes;2-Day Shipping;Yes;Bank Transfer;Fortnightly;senior;64;31;95;medium_disc_speding;14;loyal
149;37;Male;Gloves;Accessories;Wyoming;M;Gray;Fall;2,6;poorly_rated;Yes;Store Pickup;Yes;Debit Card;Annually;mid_adult;90;47;137;high_disc_spending;365;new
